AFC;AFC ~ Approved for Construction
AFI;AFI ~ Approved for Implementation
AFP;AFP ~ Approved for Purchase
APP;APP ~ Approved
ARC;ARC ~ Archived
ASB;ASB ~ As-built
CAN;CAN ~ Cancelled
DFT;DFT ~ Draft
IFA;IFA ~ Issued for approval
IFD;IFD ~ Issued for design
IFE;IFE ~ Issued for enquiry
IFI;IFI ~ Issued for Information
IFM;IFM ~ Issued for Implementation
IFP;IFP ~ Issued for purchase
IFR;IFR ~ Issued For Review and Comments
IFT;IFT ~ issued for tender
IP;IP ~ In Progress
PUB;PUB ~ Public
