2-4А;2-4А ~ Камера распределения КМ4-4А
25;25 ~ Резервуар-усреднитель (2шт) | 25. Оперативный центр экстренных служб на уч №2 Торткудук мест Моинкум
2-5;2-5 ~ Склад аммиачной селитры | 2-5ТП ~ Подстанция 5ТП
2-50;2-50 ~ Насосная станция по перекачки промывных вод от станции обессоливания
2-51;2-51 ~ Дизельная электростанция резервного питания
2-52;2-52 ~ Резервуары хозяйственно-питьевые, производственно-противопожарные, объемом 2Х200м3
2-53;2-53 ~ Насосная станция противопожарная
2-54.1,2;2-54.1,2 ~ Резервуары противопожарные 2X180м3
2-55;2-55 ~ Дизелльная электростанция
2-56;2-56 ~ Склад десорбата | 2-56 ~ Ограждение технологических карт
2-56.1;2-56.1 ~ Ограждение бассейна-отстойник РВР
2-57;2-57 ~ Склад аммиачной воды | 2-57 ~ Ограждение территории площадки h-2.70м
2-57.1;2-57.1 ~ Ограждение комбинированное-сетчатое с профлистом
2-58;2-58 ~ Пескоотстойник ВР 2Х2000м3
2-59;2-59 ~ Пескоотстойник ПР 2Х2000м3 | 2-59 ~ Усреднитель стоков
2-5A;2-5A ~ Противопожарный резервуар №4
2-5ТП;2-5ТП ~ Подстанция 5ТП
26;26 ~ Насосная станция подачи стоков на очистку | 27. Станции моек фильтров участок №1 Моинкум и №2 Торткудук месторождения Моинкум | 27 ~ КТП 10 0,4кВ | 26. Гидрав сети распр-я пром растворов к блокам TNU-19, TNU-20..TNU-39 на уч №2 Торткудук Северный мест Моинкум
2-6;2-6 ~ Физико-химическая лаборатория сертификации | 2-6 ~ Мастерские ГИС, РВР и по ремонту насосов
2-60;2-60 ~ Склад кислоты 2Х600м3 | 2-60 ~ Станция биологической отчистки с производительностью 120м3-cут
2-61;2-61 ~ Насосная склада кислоты | 2-61 ~ Насосная станция подачи бытового стока
2-62;2-62 ~ Пункт экстренной помощи | 2-62 ~ Контактный резервуар V=15м3
2-62.1-3;2-62.1-3 ~ Локальные очистные сооружения поверхностных вод
2-63;2-63 ~ Дизель генераторная установка1325кВА | 2-63 ~ Песколовка
2-64;2-64 ~ Отстойник РВР 3000м3 | 2-64 ~ Песковая площадка
2-65;2-65 ~ Переход через трубы | 2-65 ~ Установка биологической отчистки
2-66;2-66 ~ Цех переработки продуктивных растворов | 2-66 ~ Канализационная насосная станция подачи сточных вод на доочистку
2-67;2-67 ~ Непроходной канал | 2-67 ~ Модуль доочистки №1
2-68;2-68 ~ Ограждение территории | 2-68 ~ Модуль доочистки №2
2-69;2-69 ~ Эстакада трубопроводов (реконструкция) | 2-69 ~ Канализационная насосная станция подачи ила на иловые площадки
2-7;2-7 ~ Емкость ВР 1000 м3
2-70;2-70 ~ Канализационная насосная станция подачи дренажных сточных вод в песколовку
2-70А;2-70А ~ Ограждение территории
2-70А,Б;2-70А,Б ~ Резервуары технической воды 2x50 м3
2-71;2-71 ~ Иловая площадка из 4-х карт
2-72;2-72 ~ Бытовые помещение оператора
2-73;2-73 ~ Насосная станция подачи очищенных вод в пруд-накопитель
2-74;2-74 ~ Пруд-накопитель очищенных вод
2-74.1;2-74.1 ~ Ограждения пруда-накопителя
2-75;2-75 ~ Насосная станция подачи очищенных вод на полив
2-75А;2-75А ~ Ограждение песко-нефтеуловителя КПН-3
2-76;2-76 ~ Прожекторная мачта
2-76.1;2-76.1 ~ Ограждение иловой площадки
2-76А;2-76А ~ Ограждение песко-нефтеуловителя КПН
2-77;2-77 ~ Временная стоянка для обслуживающих механизмов
2-77А;2-77А ~ Ограждение песко-нефтеуловителя КПН-4
2-78;2-78 ~ Технологическая камера ПР
2-78А;2-78А ~ Ограждение песко-нефтеуловителя КПН-3
2-79;2-79 ~ Технологическая камера ВР
28;28. Строительство гид сетей трубопроводов распр-я пром растворов к блокам MSU-32, MSU-34, MSU-36 и MSU-40 на уч №1 Южный Моинкум | 28 ~ Парковка для спецтехники
2-8;2-8 ~ Насосная
2-80;2-80 ~ Помещение для газовых резервуаров
2-81;2-81 ~ Автомойка
2-84;2-84 ~ Лаборатория
29;29 ~ Парковка на 21 лег машину | 29. Временные склады для хранения газовых баллонов на участке №1 Южный Моинкум | 29. Временные склады для хранения газовых баллонов на участке №2 Торткудук месторождения Моинкум
2-9;2-9 ~ Пункт дезактивации со складом товарного десорбата | 2-9 ~ Пункт дезоктивации со складом ГП
2A;2А ~ Общежитие для руководящего состава на 50 человек (2 очередь)
2-K1;2-K1 ~ Камера распределения КМ4-1
2-K2;2-K2 ~ Камера распределения КМ4-2
2-K3;2-K3 ~ Камера распределения КМ4-3
2-K4;2-K4 ~ Камера распределения КМ4-4
2-K4A;2-K4A ~ Камера распределения КМ4-4A
2-K5;2-K5 ~ Камера распределения КМ4-5
2-K5C;2-K5C ~ Камера распределения КМ4-5C
2-K6;2-K6 ~ Камера распределения КМ4-6
2-K7;2-K7 ~ Камера распределения КМ4-7
2-K7D;2-K7D ~ Камера распределения КМ4-7D
2-K8;2-K8 ~ Камера распределения КМ4-8
2-K8F;2-K8F ~ Камера распределения КМ4-8F
2-S;2-S ~ Опоры под депульсаторы для сети М4
2-S01;2-S01 ~ Блок уравнительных резервуаров S01
2А;2А ~ Общежитие для руководящего состава на 50 человек (2 очередь)
2-В1;2-В1 ~ Камера воздушного клапана по сети М4
2-Д1;2-Д1 ~ Камера сливного клапана по сети М4
2-С1А;2-С1А ~ Внутриплощадочные тепловые сети
2-С3А;2-С3А ~ Внутриплощадочные сети водопровода и канализации
2-С3Б;2-С3Б ~ Наружные сети водоснабжения
